Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
KY102470,Candida tropicalis,type material of Oidium tropicale,Yes,,,,,,,,NCBI type_material qualifier,
OR941243,Candida tropicalis,type material of Oidium tropicale,Yes,H0Y1-2,,Indonesia,2021,,,,NCBI type_material qualifier,
KY102495,Candida verbasci,type material of Candida verbasci,Yes,,,Georgia,,Matthias Sipiczki,,,NCBI type_material qualifier,
JX515982,Candida verbasci,type material of Candida verbasci,Yes,,,Georgia: Tbilisi,,,,,NCBI type_material qualifier,
AY139791,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
U70510,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
KJ651204,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
AY139792,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
DQ249201,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
KY102515,Candida viswanathii,type material of Candida viswanathii,Yes,,,India,,,,,NCBI type_material qualifier,
KY102511,Candida viswanathii,type material of Candida lodderae,Yes,,,Mexico,,,,,NCBI type_material qualifier,
MK394122,Candida viswanathii,type material of Candida viswanathii,Yes,,,,,,,,NCBI type_material qualifier,
EU570111,Candida wuzhishanensis,"culture from holotype of Candida
                     wuzhishanensis",Yes,,,,,,,,NCBI type_material qualifier,
KM586732,Candida xiaguanensis,"culture from holotype of Candida
                     xiaguanensis",Yes,,,,,,,,NCBI type_material qualifier,
