Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
KJ742702,Tuber alboumbilicum,holotype of Tuber alboumbilicum,Yes,,YAAS L2324,,,,,,NCBI type_material qualifier,
MN810047,Tuber alcaracense,holotype of Tuber alcaracense,Yes,,MUB:Fung-0971,"Spain: Albacete, Penascosa",15-Feb-2017,A. Rodriguez,,,NCBI type_material qualifier,
HM485338,Tuber anniae,holotype of Tuber anniae,Yes,JT13209,,USA: Washington,03-Nov-1993,D. Tysell,,,NCBI type_material qualifier,
OR799979,Tuber arriacaense,holotype of Tuber arriacaense,Yes,,,Spain: Guadalajara,,J.L. Manjon & Luky,,,NCBI type_material qualifier,
KY271791,Tuber aztecorum,type material of Tuber aztecorum,Yes,,GG993,,29-Jul-2010,,,,NCBI type_material qualifier,
KX904889,Tuber badium,holotype of Tuber badium,Yes,,HKAS88789,,,,,,NCBI type_material qualifier,
KX262075,Tuber baoshanense,holotype of Tuber baoshanense,Yes,,HKAS:88788,China,,,,,NCBI type_material qualifier,
FJ809855,Tuber bellisporum,holotype of Tuber bellisporum,Yes,,JT11679,USA,14-Jan-1990,Mike Amaranthus,,,NCBI type_material qualifier,
HM485408,Tuber beyerlei,holotype of Tuber beyerlei,Yes,JT32597,,USA: Oregon,,,,,NCBI type_material qualifier,
MZ423174,Tuber borchii,epitype of Tuber borchii,Yes,,AQUI 10151,"Italy: Lombardy, Varzi, Castello Oramala",06-Mar-2019,Stefano Seghezzi,,,NCBI type_material qualifier,
MF611779,Tuber brennemanii,holotype of Tuber brennemanii,Yes,MES653_(Holotype),,,,,,,NCBI type_material qualifier,
MW166489,Tuber brumale var. gorii,"culture from holotype of Tuber brumale
                     var. gorii",Yes,,AGMT 1019,"Italy: Lucca, Montuolo",15-Feb-2020,Giampaolo Bernardini,,,NCBI type_material qualifier,
MT006095,Tuber buendiae,holotype of Tuber buendiae,Yes,,MUB:Fung-0974,"Spain: Albacete, Alcaraz",31-Dec-2016,E. Buendia,,,NCBI type_material qualifier,
KT444598,Tuber calosporum,holotype of Tuber calosporum,Yes,,HKAS:88790,,,,,,NCBI type_material qualifier,
PP856168,Tuber canirevelatum,holotype of Tuber canirevelatum,Yes,,BL680_Tuber_canemrevelatum4rev,USA,2024,,,,NCBI type_material qualifier,
KP276183,Tuber caoi,holotype of Tuber caoi,Yes,BJTC FAN271,,China,,,,,NCBI type_material qualifier,
MZ092919,Tuber caryophilum,holotype of Tuber caryophilum,Yes,,st3,Mexico,,,,,NCBI type_material qualifier,
FJ809860,Tuber castellanoi,holotype of Tuber castellanoi,Yes,,JT28069,USA,25-Jun-1997,Michael Castellano,,,NCBI type_material qualifier,
HM485403,Tuber castilloi,holotype of Tuber castilloi,Yes,ITCV149,,Mexico,,Gonzalo Guevara,,,NCBI type_material qualifier,
JN392231,Tuber cistophilum,holotype of Tuber cistophilum,Yes,,AH39275,Spain,,,,,NCBI type_material qualifier,
MH115295,Tuber crassitunicatum,holotype of Tuber crassitunicatum,Yes,,BJTC:FAN465,"China: Yunnan Prov., Xundian County",16-Jan-2015,Jinzhong Cao,,,NCBI type_material qualifier,
KU203777,Tuber cryptobrumale,holotype of Tuber cryptobrumale,Yes,TB142k3,HNHM<HUN>:BP107922,"Hungary: Heves, Felsotarkany",09-Dec-2012,,,,NCBI type_material qualifier,
PP337339,Tuber cumberlandense,holotype of Tuber cumberlandense,Yes,BL543,FLAS:F-71137,"USA: Woodford Co., Kentucky",31-Jan-2022,,,,NCBI type_material qualifier,
PQ435333,Tuber danielis,holotype of Tuber danielis,Yes,,AH 60378,"Spain: Badajoz, Quintana de la Serena",14-Apr-2021,M. Romero,,,NCBI type_material qualifier,
MW340905,Tuber davidlopezii,holotype of Tuber davidlopezii,Yes,,MUB:Fung-1001,"Spain: Caceres, Talayuela",13-Apr-2006,A. Rodriguez,,,NCBI type_material qualifier,
KX904892,Tuber depressum,holotype of Tuber depressum,Yes,,HKAS95396,,,,,,NCBI type_material qualifier,
MF540618,Tuber elevatireticulatum,holotype of Tuber elevatireticulatum,Yes,XTAM3,,,,,,,NCBI type_material qualifier,
OM265272,Tuber excelsum-reticulatum,holotype of Tuber excelsum-reticulatum,Yes,,BJTC FAN863,China: Shanxi,,,,,NCBI type_material qualifier,
MF611781,Tuber floridanum,holotype of Tuber floridanum,Yes,MES654_(Holotype),,,,,,,NCBI type_material qualifier,
HM485360,Tuber gennadii,paratype of Tuber gennadii,Yes,A JT9627,,Spain,May-1987,Alvarez #T-7(UAB),,,NCBI type_material qualifier,
FJ809863,Tuber gibbosum,epitype of Tuber gibbosum,Yes,,JT6555,USA,04-Apr-1981,C. Yarwood,,,NCBI type_material qualifier,
KY428922,Tuber griseolivaceum,holotype of Tuber griseolivaceum,Yes,BJTC FAN434,BJTC:FAN469,China,,,,,NCBI type_material qualifier,
KY428921,Tuber griseolivaceum,holotype of Tuber griseolivaceum,Yes,BJTC FAN469,BJTC:FAN469,China,,,,,NCBI type_material qualifier,
KY428923,Tuber griseolivaceum,holotype of Tuber griseolivaceum,Yes,BJTC FAN470,BJTC:FAN469,China,,,,,NCBI type_material qualifier,
KT067688,Tuber hubeiense,holotype of Tuber hubeiense,Yes,,HMAS 60233,China,,,,,NCBI type_material qualifier,
OM256781,Tuber huiliense,holotype of Tuber huiliense,Yes,,BJTC FAN288,China: Sichuan,,,,,NCBI type_material qualifier,
MN854634,Tuber iranicum,holotype of Tuber iranicum,Yes,,CMI-Unibo 4939,Iran,,,,,NCBI type_material qualifier,
KP276177,Tuber jinshajiangense,holotype of Tuber jinshajiangense,Yes,BJTC FAN124,,China,,,,,NCBI type_material qualifier,
OK275104,Tuber koreanum,holotype of Tuber koreanum,Yes,,,,,,,,NCBI type_material qualifier,
DQ898183,Tuber latisporum,holotype of Tuber latisporum,Yes,T1,HKAS 44315,China,,,,,NCBI type_material qualifier,
HM485365,Tuber lauryi,holotype of Tuber lauryi,Yes,JT19425,,USA: Oregon,02-Oct-1996,Frank Evans,,,NCBI type_material qualifier,
PQ877422,Tuber leptodermum,holotype of Tuber leptodermum,Yes,,ACAMTub475,Greece: Prespes,12-Dec-2024,,,,NCBI type_material qualifier,
HM485370,Tuber linsdalei,holotype of Tuber linsdalei,Yes,L63,,USA: California,,,,,NCBI type_material qualifier,
MH115303,Tuber lishanense,holotype of Tuber lishanense,Yes,,BJTC:FAN718,"China: Shanxi Prov., Yuanqu County",17-Oct-2016,Kaibing Huang,,,NCBI type_material qualifier,
JQ771191,Tuber liyuanum,culture from holotype of Tuber liyuanum,Yes,,,China,,,,,NCBI type_material qualifier,
MN437515,Tuber lucentum,holotype of Tuber lucentum,Yes,Moralet II,j825,Spain,2017,Juan-Julian Bordallo,,,NCBI type_material qualifier,
OM256769,Tuber luyashanense,holotype of Tuber luyashanense,Yes,,BJTC FAN1031,China: Shanxi,,,,,NCBI type_material qualifier,
OM256767,Tuber magnameshanum,holotype of Tuber magnameshanum,Yes,,BJTC FAN537,China: Sichuan,,,,,NCBI type_material qualifier,
MZ423175,Tuber magnatum,neotype of Tuber magnatum,Yes,,TO HG3458,"Italy: Piedmont, Montechiaro D'Asti, Loc.
                     Seria",29-Oct-2019,Pino Panzini,,,NCBI type_material qualifier,
OP852122,Tuber melanorufum,holotype of Tuber melanorufum,Yes,,BJTC FAN1273,China,,,,,NCBI type_material qualifier,
MZ423176,Tuber melanosporum,epitype of Tuber melanosporum,Yes,,AQUI 10152,"Italy: Lombardy, Monza, Parco Villa Reale",01-Feb-2019,Stefano Seghezzi,,,NCBI type_material qualifier,
OK625304,Tuber melanoumbilicatum,holotype of Tuber melanoumbilicatum,Yes,,wsp1006_YNAU017,,,,,,NCBI type_material qualifier,
HM485411,Tuber mexiusanum,holotype of Tuber mexiusanum,Yes,ITCV181,,Mexico,,Gonzalo Guevara,,,NCBI type_material qualifier,
OM256770,Tuber microcarpum,holotype of Tuber microcarpum,Yes,,BJTC FAN866,China: Shanxi,,,,,NCBI type_material qualifier,
OR250184,Tuber microexcavatum,holotype of Tuber microexcavatum,Yes,,YNAU1263,,,,,,NCBI type_material qualifier,
HM485414,Tuber miquihuanense,holotype of Tuber miquihuanense,Yes,ITCV885,,Mexico,,Gonzalo Guevara,,,NCBI type_material qualifier,
MW209737,Tuber mixtecorum,holotype of Tuber mixtecorum,Yes,,GJ21880,Mexico: Oaxaca,,,,,NCBI type_material qualifier,
OM756740,Tuber mohedanoi,holotype of Tuber mohedanoi,Yes,,MUB_Fung-998,"Spain: Albacete, Penascosa",08-Jun-2020,E. Buendia,,,NCBI type_material qualifier,
OP902309,Tuber mongolicum,holotype of Tuber mongolicum,Yes,,HMJAU65125,,,,,,NCBI type_material qualifier,
HM485377,Tuber multimaculatum,paratype of Tuber multimaculatum,Yes,OSC62169,,Spain,Mar-1987,commercial truffle collector,,,NCBI type_material qualifier,
FJ809874,Tuber oregonense,holotype of Tuber oregonense,Yes,,GB284,USA,Jan-2007,Gregory Bonito,,,NCBI type_material qualifier,
JQ978648,Tuber panzhihuanense,type material of Tuber panzhihuanense,Yes,,,,,,,,NCBI type_material qualifier,
KP276186,Tuber parvomurphium,holotype of Tuber parvomurphium,Yes,BJTC FAN298,,China,,,,,NCBI type_material qualifier,
MH115318,Tuber piceatum,holotype of Tuber piceatum,Yes,,HMAS:97125,"China: Xinjiang Uygur Autonomous Region,
                     Xinyuan County",14-Aug-2003,Xingzhong Liu,,,NCBI type_material qualifier,
KX262072,Tuber polymorphosporum,holotype of Tuber polymorphosporum,Yes,,HKAS:88793,China,,,,,NCBI type_material qualifier,
KJ742703,Tuber pseudobrumale,holotype of Tuber pseudobrumale,Yes,,YAAS L3181,,,,,,NCBI type_material qualifier,
OM256757,Tuber pseudofulgens,holotype of Tuber pseudofulgens,Yes,,BJTC FAN399,China: Yunnan,,,,,NCBI type_material qualifier,
JQ771192,Tuber pseudomagnatum,"culture from holotype of Tuber
                     pseudomagnatum",Yes,,,China,,,,,NCBI type_material qualifier,
KT897480,Tuber pseudoseparans,type material of Tuber pseudoseparans,Yes,,JT33778,Mexico: Jalisco,26-Sep-2009,Todd Elliott,,,NCBI type_material qualifier,
KX904885,Tuber qujingense,holotype of Tuber qujingense,Yes,,HKAS95823,,Oct-2016,,,,NCBI type_material qualifier,
EU375838,Tuber regimontanum,holotype of Tuber regimontanum,Yes,,ITCV 909,Mexico,,,,,NCBI type_material qualifier,
MW579336,Tuber rugosum,holotype of Tuber rugosum,Yes,,,USA,01-Oct-2018,Bryan Rennick,,,NCBI type_material qualifier,
MW579343,Tuber rugosum,holotype of Tuber rugosum,Yes,,,USA,01-Oct-2018,Bryan Rennick,,,NCBI type_material qualifier,
MW579328,Tuber rugosum,holotype of Tuber rugosum,Yes,,,USA,01-Oct-2018,Bryan Rennick,,,NCBI type_material qualifier,
KT444595,Tuber shidianense,holotype of Tuber shidianense,Yes,,HKAS:88770,,,,,,NCBI type_material qualifier,
KX555453,Tuber shii,type material of Tuber shii,Yes,BJTC FAN405,,China,,,,,NCBI type_material qualifier,
OM286802,Tuber sinoborchi,holotype of Tuber sinoborchi,Yes,,BJTC FAN171,China: Yunnan,,,,,NCBI type_material qualifier,
KX904882,Tuber sinoniveum,type material of Tuber sinoniveum,Yes,,HKAS:88792,China: Yunnan,Oct-2016,,,,NCBI type_material qualifier,
JX092086,Tuber sinosphaerosporum,holotype of Tuber sinosphaerosporum,Yes,,BJTC:FAN135,China: Yunnan,,,,,NCBI type_material qualifier,
KX904883,Tuber songlu,holotype of Tuber songlu,Yes,,HKAS95771,,Oct-2016,,,,NCBI type_material qualifier,
FJ809884,Tuber spinoreticulatum,isotype of Tuber spinoreticulatum,Yes,,U188,USA,,Uecker,,,NCBI type_material qualifier,
OL711623,Tuber suave,holotype of Tuber suave,Yes,,AQUI 7131,Italy: Secinaro,11-Nov-2010,A. Barbati,,,NCBI type_material qualifier,
KT897482,Tuber tequilanum,type material of Tuber tequilanum,Yes,,JT33796,Mexico: Jalisco,27-Sep-2009,Michael Castellano,,,NCBI type_material qualifier,
MK211283,Tuber theleascum,holotype of Tuber theleascum,Yes,AQUI 9729,ITCV 908,"Mexico: Nuevo Leon State, Municipality of
                     Monterrey, locality El Barro, road to Paraje del Oso",06-Aug-2007,G. Guevara,,,NCBI type_material qualifier,
KT758837,Tuber turmericum,holotype of Tuber turmericum,Yes,BJTC FAN473,,China: Xundian county,,,,,NCBI type_material qualifier,
PX046106,Tuber unicolor,holotype of Tuber unicolor,Yes,,OSC38608,"USA: New York, Westchester, North
                     Tarrytown",24-Sep-1919,G. Giavelli,,,NCBI type_material qualifier,
KX904887,Tuber verrucosivolvum,holotype of Tuber verrucosivolvum,Yes,,HKAS88863,China: Yunnan,Dec-2012,,,,NCBI type_material qualifier,
JF419260,Tuber walkeri,holotype of Tuber walkeri,Yes,,,USA,06-Aug-1999,Rosanne Healy,,,NCBI type_material qualifier,
DQ478637,Tuber wanglangense,type material of Tuber wanglangense,Yes,,IFS Y. Wang 610,"China: Pingwu, Sichuan",,,,,NCBI type_material qualifier,
HM485392,Tuber whetstonense,paratype of Tuber whetstonense,Yes,JT25783,,USA: Oregon,10-Jul-2000,Harold Berringhausen,,,NCBI type_material qualifier,
KT067682,Tuber wumengense,holotype of Tuber wumengense,Yes,,BJTC FAN218A,China,,,,,NCBI type_material qualifier,
KJ162154,Tuber xanthomonosporum,type material of Tuber xanthomonosporum,Yes,,YAAS L3185,,,,,,NCBI type_material qualifier,
KP276179,Tuber xuanhuaense,holotype of Tuber xuanhuaense,Yes,HMAS 60213,,China,,,,,NCBI type_material qualifier,
OK625306,Tuber yunnanense,holotype of Tuber yunnanense,Yes,,wsp973_1_YNAU019,,,,,,NCBI type_material qualifier,
MW632951,Tuber zambonelliae,holotype of Tuber zambonelliae,Yes,,MUB:Fung-0995,"Spain: Albacete, Masegoso",15-Jun-2020,E. Buendia,,,NCBI type_material qualifier,
DQ898187,Tuber zhongdianense,holotype of Tuber zhongdianense,Yes,T20,wang0299,China,,,,,NCBI type_material qualifier,
MH861371,Tuberculiforma catenatus,holotype of Anthopsis catenata,Yes,,,Germany,,,,,NCBI type_material qualifier,
OR680525,Tuberculiforma sinensis,"culture from holotype of Tuberculiforma
                     sinensis",Yes,,,China,,Zhi-Yuan Zhang,,,NCBI type_material qualifier,
KY053474,Tuberculina photiniae,holotype of Tuberculina photiniae,Yes,,SWFC:004453,China,,Y.H. Chen & Y.M. Zhao,,,NCBI type_material qualifier,
MH558769,Tubeufia abundata,holotype of Tubeufia abundata,Yes,,MFLU 17-1213,Thailand,25-Mar-2017,Yong-Zhong Lu,,,NCBI type_material qualifier,
PP626645,Tubeufia acropleurogena,holotype of Tubeufia acropleurogena,Yes,,HKAS 128875,China,15-Aug-2021,Jian Ma,,,NCBI type_material qualifier,
KY320522,Tubeufia aquatica,holotype of Tubeufia aquatica,Yes,,MFLU 16-2544,China,15-Jun-2015,Zong-long Luo,,,NCBI type_material qualifier,
MH558771,Tubeufia bambusicola,holotype of Tubeufia bambusicola,Yes,,MFLU 17-1111,Thailand,25-Jan-2017,Yong-Zhong Lu,,,NCBI type_material qualifier,
PP626648,Tubeufia baomeilingensis,holotype of Tubeufia baomeilingensis,Yes,,HKAS 131093,China,15-Aug-2021,Jian Ma,,,NCBI type_material qualifier,
MH558772,Tubeufia brevis,holotype of Tubeufia brevis,Yes,,MFLU 17-1099,Thailand,31-Dec-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558773,Tubeufia brunnea,holotype of Tubeufia brunnea,Yes,,MFLU 17-1211,Thailand,25-Mar-2017,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558775,Tubeufia chlamydospora,holotype of Tubeufia chlamydospora,Yes,,MFLU 17-1172,Thailand,16-Dec-2015,Saranyaphat Boonmee,,,NCBI type_material qualifier,
PP626653,Tubeufia denticulata,holotype of Tubeufia denticulata,Yes,,HKAS 131090,China,28-Dec-2021,Jian Ma,,,NCBI type_material qualifier,
MH558778,Tubeufia dictyospora,holotype of Tubeufia dictyospora,Yes,,MFLU 17-1114,Thailand,25-Jan-2017,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558781,Tubeufia eccentrica,"culture from holotype of Tubeufia
                     eccentrica",Yes,,GZAAS 16-0096,China,14-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558782,Tubeufia eccentrica,holotype of Tubeufia eccentrica,Yes,,HKAS 97439,China,14-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MK347727,Tubeufia entadae,holotype of Tubeufia entadae,Yes,,C218,Thailand,,Subashini C. Jayasiri,,,NCBI type_material qualifier,
MH558783,Tubeufia fangchengensis,holotype of Tubeufia fangchengensis,Yes,,HKAS 97429,China,15-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH275089,Tubeufia freycinetiae,"culture from holotype of Tubeufia
                     freycinetiae",Yes,,MFLUCC 16-0252,Thailand,17-Dec-2015,S. Tibpromma & K.D. Hyde,,,NCBI type_material qualifier,
MG012025,Tubeufia guangxiensis,holotype of Tubeufia guangxiensis,Yes,,GZAAS 16-0057,China,,Yong Zhong Lu,,,NCBI type_material qualifier,
OR030841,Tubeufia guttulata,holotype of Tubeufia guttulata,Yes,,HKAS 128936,China,26-Dec-2021,Jian Ma,,,NCBI type_material qualifier,
PP791412,Tubeufia hagahagana,"culture from holotype of Tubeufia
                     hagahagana",Yes,,,"South Africa: Eastern Cape Province, Haga
                     Haga, Amathole",,M.J. Wingfield,,,NCBI type_material qualifier,
OR030842,Tubeufia hainanensis,holotype of Tubeufia hainanensis,Yes,,HKAS 125884,China,10-Aug-2021,Jian Ma,,,NCBI type_material qualifier,
MH558785,Tubeufia hechiensis,holotype of Tubeufia hechiensis,Yes,,HKAS 97443,China,18-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558786,Tubeufia hyalospora,holotype of Tubeufia hyalospora,Yes,,MFLU 16-1135,Thailand,30-Jul-2015,Kevin D. Hyde,,,NCBI type_material qualifier,
MH558789,Tubeufia inaequalis,holotype of Tubeufia inaequalis,Yes,,HKAS 97440,China,14-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558792,Tubeufia krabiensis,holotype of Tubeufia krabiensis,Yes,,MFLU 17-1174,Thailand,17-Dec-2015,Saranyaphat Boonmee,,,NCBI type_material qualifier,
KY092417,Tubeufia latispora,holotype of Tubeufia latispora,Yes,,MFLU 16-2658,Thailand,28-Nov-2015,"Saranyaphat Boonmee, Yong-Zhong Lu",,,NCBI type_material qualifier,
KY092413,Tubeufia laxispora,holotype of Tubeufia laxispora,Yes,,MFLU 16-2663,Thailand,17-Dec-2015,Saranyaphat Boonmee,,,NCBI type_material qualifier,
MZ538531,Tubeufia longihelicospora,holotype of Tubeufia longihelicospora,Yes,HMS07,,Thailand,17-Mar-2016,,,,NCBI type_material qualifier,
KU940133,Tubeufia longiseta,holotype of Tubeufia longiseta,Yes,,MFLU 15-1215,Thailand,06-Oct-2014,Kevin D. Hyde,,,NCBI type_material qualifier,
KY092415,Tubeufia mackenziei,holotype of Tubeufia mackenziei,Yes,,MFLU 16-2661,Thailand,16-Dec-2015,Saranyaphat Boonmee,,,NCBI type_material qualifier,
OR030843,Tubeufia muriformis,holotype of Tubeufia muriformis,Yes,,HKAS 128853,China,16-Mar-2022,Jian Ma,,,NCBI type_material qualifier,
MH275091,Tubeufia pandanicola,"culture from holotype of Tubeufia
                     pandanicola",Yes,,MFLUCC 16-0321,Thailand,14-Dec-2015,S. Tibpromma & K.D. Hyde,,,NCBI type_material qualifier,
MH558801,Tubeufia rubra,holotype of Tubeufia rubra,Yes,,HKAS 7438,China,14-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558803,Tubeufia sessilis,holotype of Tubeufia sessilis,Yes,,MFLU 17-1165,Thailand,28-Nov-2015,Saranyaphat Boonmee & Yong-Zhong Lu,,,NCBI type_material qualifier,
PP781938,Tubeufia subrenispora,holotype of Tubeufia subrenispora,Yes,,HKAS 128880,China,25-Feb-2023,Xing-Juan Xiao,,,NCBI type_material qualifier,
MH558806,Tubeufia sympodihylospora,holotype of Tubeufia sympodihylospora,Yes,,HKAS 97427,China,15-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558808,Tubeufia sympodilaxispora,holotype of Tubeufia sympodilaxispora,Yes,,HKAS 97430,China,15-May-2016,Yong-Zhong Lu,,,NCBI type_material qualifier,
MH558811,Tubeufia tratensis,holotype of Tubeufia tratensis,Yes,,MFLU 17-1133,Thailand,27-Apr-2017,Yong-Zhong Lu,,,NCBI type_material qualifier,
PP626675,Tubeufia tropica,holotype of Tubeufia tropica,Yes,,HKAS 128941,China,28-Dec-2021,Jian Ma,,,NCBI type_material qualifier,
PV475577,Tubulicium yunnanense,holotype of Tubulicium yunnanense,Yes,,CLZhao 37459,China,03-Jul-2024,Changlin Zhao,,,NCBI type_material qualifier,
KX017593,Tubulicrinis australis,holotype of Tubulicrinis australis,Yes,,MA:Fungi:88839,Chile,14-Oct-2014,"M.Duenas, M.T. Telleria, 20437Tell.",,,NCBI type_material qualifier,
KU659609,Tubulicrinis martinicensis,holotype of Tubulicrinis martinicensis,Yes,,LIP:GG-MAR12-206,,,,,,NCBI type_material qualifier,
OR096210,Tubulicrinis pini,holotype of Tubulicrinis pini,Yes,,,China,,Changlin Zhao,,,NCBI type_material qualifier,
MT153874,Tubulicrinis xantha,holotype of Tubulicrinis xantha,Yes,,CLZhao 2868,China,,Changlin Zhao,,,NCBI type_material qualifier,
MT153880,Tubulicrinis yunnanensis,holotype of Tubulicrinis yunnanensis,Yes,,CLZhao 9717,China,,Changlin Zhao,,,NCBI type_material qualifier,
MK192001,Tulasnella brigadeiroensis,"culture from holotype of Tulasnella
                     brigadeiroensis",Yes,COAD 2884,,,,,,,NCBI type_material qualifier,
MT036547,Tulasnella concentrica,holotype of Tulasnella concentrica,Yes,CLM2071,,"Australia: Morton National Park, NSW",13-Oct-2017,Arild Arifin,,,NCBI type_material qualifier,
MT036520,Tulasnella densa,holotype of Tulasnella densa,Yes,CLM2117,,"Australia: Meroo National Park, NSW",05-Dec-2017,"Arild Arifin, Alyssa Weinstein",,,NCBI type_material qualifier,
OQ406485,Tulasnella epidendrea,"culture from holotype of Tulasnella
                     epidendrea",Yes,CMW:60269,,South Africa,2022,Tiphany Nkomo,,,NCBI type_material qualifier,
MN385726,Tulasnella hadrolaeliae,"culture from holotype of Tulasnella
                     hadrolaeliae",Yes,COAD2889,,,,,,,NCBI type_material qualifier,
MH861654,Tulasnella irregularis,type material of Tulasnella irregularis,Yes,,,Australia,,,,,NCBI type_material qualifier,
EU218889,Tulasnella irregularis,type material of Tulasnella irregularis,Yes,CBS 574.83,JHW 0632,,,,,,NCBI type_material qualifier,
MT981409,Tulasnella korungensis,holotype of Tulasnella korungensis,Yes,CLM1788,,"Australia: Pomeroy Rd, WA",13-Oct-2016,Ryan Phillips,,,NCBI type_material qualifier,
MT981410,Tulasnella multinucleata,holotype of Tulasnella multinucleata,Yes,CLM2222,,"Australia: Morton National Park, NSW",13-Oct-2018,Arild Arifin,,,NCBI type_material qualifier,
MW575585,Tulasnella nerrigaensis,holotype of Tulasnella nerrigaensis,Yes,CLM1870,,"Australia: Nerriga, NSW",20-Oct-2017,Celeste Linde,,,NCBI type_material qualifier,
MT008096,Tulasnella occidentalis,holotype of Tulasnella occidentalis,Yes,CLM1938,,"Australia: Boyanup, WA",18-Dec-2016,Alyssa Weinstein,,,NCBI type_material qualifier,
MN385729,Tulasnella orchidis,"culture from holotype of Tulasnella
                     orchidis",Yes,COAD2893,,,,,,,NCBI type_material qualifier,
MT008122,Tulasnella punctata,holotype of Tulasnella punctata,Yes,CLM2017,,"Australia: Northern Sydney, NSW",14-Jun-2017,Arild Arifin,,,NCBI type_material qualifier,
MN947569,Tulasnella rosea,holotype of Tulasnella rosea,Yes,CLM1773,,Australia: Western Australia,17-Aug-2016,,,,NCBI type_material qualifier,
MN385732,Tulasnella zygopetali,"culture from holotype of Tulasnella
                     zygopetali",Yes,COAD2896,,,,,,,NCBI type_material qualifier,
KU519086,Tulostoma calcareum,type material of Tulostoma calcareum,Yes,,MJ6965,Sweden,,,,,NCBI type_material qualifier,
HQ667594,Tulostoma domingueziae,holotype of Tulostoma domingueziae,Yes,,,,,,,,NCBI type_material qualifier,
HQ667593,Tulostoma domingueziae,paratype of Tulostoma domingueziae,Yes,,,,,,,,NCBI type_material qualifier,
OR722622,Tulostoma dunense,holotype of Tulostoma dunense,Yes,,BP112640,Hungary,18-Oct-2020,"P. Finy, I. Olvedi",,,NCBI type_material qualifier,
KC333073,Tulostoma fimbriatum var. heterosporum,"holotype of Tulostoma fimbriatum var.
                     heterosporum",Yes,,Maas Geesteranus 7513 (L),"Netherlands: Voorlinden, Wassenaar",07-Oct-1950,,,,NCBI type_material qualifier,
PV490705,Tulostoma glabrescens,holotype of Tulostoma glabrescens,Yes,,QL20170264,China,2017-08-22,,,,NCBI type_material qualifier,
OR722630,Tulostoma hungaricum,holotype of Tulostoma hungaricum,Yes,,BP112641,Hungary,24-Jan-2021,P. Finy,,,NCBI type_material qualifier,
OQ626704,Tulostoma mucugeense,holotype of Tulostoma mucugeense,Yes,,ALCB 141142,Brazil,05-Apr-2018,,,,NCBI type_material qualifier,
KX513827,Tulostoma pseudopulchellum,holotype of Tulostoma pseudopulchellum,Yes,,AH11605,Spain,,,,,NCBI type_material qualifier,
MF319226,Tulostoma rufescens,holotype of Tulostoma rufescens,Yes,,UES 10528,Mexico,,,,,NCBI type_material qualifier,
KU519107,Tulostoma rufum,lectotype of Tulostoma rufum,Yes,,BPI 704578,USA,,,,,NCBI type_material qualifier,
OR722632,Tulostoma sacchariolens,holotype of Tulostoma sacchariolens,Yes,,BP112642,Hungary,24-Jan-2021,"I. Olvedi, P. Finy, L. Albert",,,NCBI type_material qualifier,
OR722637,Tulostoma shaihuludii,holotype of Tulostoma shaihuludii,Yes,,BP112643,Hungary,11-Dec-2016,P. Finy,,,NCBI type_material qualifier,
KX513826,Tulostoma submembranaceum,holotype of Tulostoma submembranaceum,Yes,,AH15132,Mexico,,,,,NCBI type_material qualifier,
KJ022018,Tumenectria laetidisca,epitype of Nectria laetidisca,Yes,,,,,,,,NCBI type_material qualifier,
AY265337,Tumularia aquatica,type material of Pyricularia aquatica,Yes,,,,,,,,NCBI type_material qualifier,
MH856165,Tumularia aquatica,type material of Pyricularia aquatica,Yes,,,United Kingdom: England,,,,,NCBI type_material qualifier,
OQ858452,Turbinellus fulvus,holotype of Turbinellus fulvus,Yes,,HKAS 57625,China: Yunnan,,Gang Wu,,,NCBI type_material qualifier,
OQ858443,Turbinellus imbricatus,holotype of Turbinellus imbricatus,Yes,,HKAS 85905,China: Yunnan,,Jing Li,,,NCBI type_material qualifier,
OQ858464,Turbinellus longistipes,holotype of Turbinellus longistipes,Yes,,HKAS 113226,China: Yunnan,,FeiFei Liu,,,NCBI type_material qualifier,
OQ858450,Turbinellus parvisporus,holotype of Turbinellus parvisporus,Yes,,HKAS 89475,China: Yunnan,,YanChun Li,,,NCBI type_material qualifier,
OQ858444,Turbinellus squamosus,holotype of Turbinellus squamosus,Yes,,HKAS 70249,China: Yunnan,,Qing Cai,,,NCBI type_material qualifier,
OQ858453,Turbinellus tomentosipes,holotype of Turbinellus tomentosipes,Yes,,HKAS 113156,China: Yunnan,,FeiFei Liu,,,NCBI type_material qualifier,
KC552003,Turmalinea chrysocarpa,holotype of Turmalinea chrysocarpa,Yes,,HKAS70601,China,,,,,NCBI type_material qualifier,
