accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
NR_198098,Melanoleuca polioleuca,epitype,high,GenBank /type_material qualifier,epitype of Agaricus melaleucus var. polioleucus,BRNM:817842,MT270947,yes,1,NR_198098 Melanoleuca polioleuca BRNM:817842 Italy,https://www.ncbi.nlm.nih.gov/nuccore/NR_198098
NR_198099,Melanoleuca variabilis,holotype,high,GenBank /type_material qualifier,holotype of Melanoleuca variabilis,BRNM:817829,MT270969,yes,1,NR_198099 Melanoleuca variabilis BRNM:817829 Czech Republic,https://www.ncbi.nlm.nih.gov/nuccore/NR_198099
NR_198100,Melanoleuca contracta,holotype,high,GenBank /type_material qualifier,holotype of Melanoleuca contracta,ANC:M0164,MT270981,yes,1,NR_198100 Melanoleuca contracta ANC:M0164 Italy,https://www.ncbi.nlm.nih.gov/nuccore/NR_198100
NR_198101,Melanoleuca albifolia,holotype,high,GenBank /type_material qualifier,holotype of Melanoleuca albifolia,L:0649920,MT270991,yes,1,NR_198101 Melanoleuca albifolia L:0649920 Netherlands,https://www.ncbi.nlm.nih.gov/nuccore/NR_198101
NR_198129,Tricholoma venenatoides,holotype,high,GenBank /type_material qualifier,holotype of Tricholoma venenatoides,WTU:F:073089,MW597303,yes,1,NR_198129 Tricholoma venenatoides WTU:F:073089 Colorado US,https://www.ncbi.nlm.nih.gov/nuccore/NR_198129
NR_198131,Melanogaster tomentellus,holotype,high,GenBank /type_material qualifier,holotype of Melanogaster tomentellus,BJTC:FAN539,MW598538,yes,1,NR_198131 Melanogaster tomentellus BJTC:FAN539 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198131
NR_198132,Tricholoma pallidogriseum,holotype,high,GenBank /type_material qualifier,holotype of Tricholoma pallidogriseum,DAOM:985245,MW627934,yes,1,NR_198132 Tricholoma pallidogriseum DAOM:985245 Quebec CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_198132
NR_198144,Vuilleminia tropica,holotype,high,GenBank /type_material qualifier,holotype of Vuilleminia tropica,CAL:1845,MZ314343,yes,1,NR_198144 Vuilleminia tropica CAL:1845 Jharkhand IN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198144
NR_198152,Gloeocystidiellum yunnanense,holotype,high,GenBank /type_material qualifier,holotype of Gloeocystidiellum yunnanense,SWFC:CLZhao7202,MZ710570,yes,1,NR_198152 Gloeocystidiellum yunnanense SWFC:CLZhao7202 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198152
NR_198164,Gautieria villosa var. inflata,holotype,high,GenBank /type_material qualifier,holotype of Gautieria villosa var. inflata,BCN:JMV20081021-5,OK999965,yes,1,NR_198164 Gautieria villosa var. inflata BCN:JMV20081021-5 Barcelona ES,https://www.ncbi.nlm.nih.gov/nuccore/NR_198164
NR_198166,Gautieria convoluta,holotype,high,GenBank /type_material qualifier,holotype of Gautieria convoluta,BCN:JMV20141014-27,OL304007,yes,1,NR_198166 Gautieria convoluta BCN:JMV20141014-27 Barcelona ES,https://www.ncbi.nlm.nih.gov/nuccore/NR_198166
NR_198167,Gautieria iberica,holotype,high,GenBank /type_material qualifier,holotype of Gautieria iberica,BCN:JMV800476,OL304010,yes,1,NR_198167 Gautieria iberica BCN:JMV800476 León ES,https://www.ncbi.nlm.nih.gov/nuccore/NR_198167
NR_198183,Volvariella orientalis,holotype,high,GenBank /type_material qualifier,holotype of Volvariella orientalis,LE<RUS>:313654,OL415619,yes,1,NR_198183 Volvariella orientalis LE:313654 Vietnam,https://www.ncbi.nlm.nih.gov/nuccore/NR_198183
NR_198209,Pseudohydnum meridianum,holotype,high,GenBank /type_material qualifier,holotype of Pseudohydnum meridianum,LE<RUS>:313568,OM451501,yes,1,NR_198209 Pseudohydnum meridianum LE:313568 Vietnam,https://www.ncbi.nlm.nih.gov/nuccore/NR_198209
NR_198212,Rubroboletus flammeus,holotype,high,GenBank /type_material qualifier,holotype of Rubroboletus flammeus,FHMU:6928,OM514348,yes,1,NR_198212 Rubroboletus flammeus FHMU:6928 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198212
NR_198215,Agrocybe eduardii,holotype,high,GenBank /type_material qualifier,holotype of Agrocybe eduardii,LE<RUS>:313652,OM524381,yes,1,NR_198215 Agrocybe eduardii LE:313652 Russia,https://www.ncbi.nlm.nih.gov/nuccore/NR_198215
NR_198231,Agaricus baiyunensis,holotype,high,GenBank /type_material qualifier,holotype of Agaricus baiyunensis,GDGM:87953,ON075801,yes,1,NR_198231 Agaricus baiyunensis GDGM:87953,https://www.ncbi.nlm.nih.gov/nuccore/NR_198231
NR_198238,Gymnopus subpolyphyllus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus subpolyphyllus,HMJAU:60999,ON259028,yes,1,NR_198238 Gymnopus subpolyphyllus HMJAU:60999 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198238
NR_198251,Lulesia nigrescens,epitype,high,GenBank /type_material qualifier,epitype of Rhodopaxillus nigrescens,AMB:18366,ON502704,yes,1,NR_198251 Lulesia nigrescens AMB:18366 Ragusa IT,https://www.ncbi.nlm.nih.gov/nuccore/NR_198251
NR_198261,Favolaschia semicircularis,holotype,high,GenBank /type_material qualifier,holotype of Favolaschia semicircularis,BJFC:031597,ON870508,yes,1,NR_198261 Favolaschia semicircularis BJFC:031597,https://www.ncbi.nlm.nih.gov/nuccore/NR_198261
NR_198264,Favolaschia tephroleuca,holotype,high,GenBank /type_material qualifier,holotype of Favolaschia tephroleuca,BJFC:036876,ON870522,yes,1,NR_198264 Favolaschia tephroleuca BJFC:036876,https://www.ncbi.nlm.nih.gov/nuccore/NR_198264
NR_198267,Clitopilus subalbidus,holotype,high,GenBank /type_material qualifier,holotype of Clitopilus subalbidus,GDGM:72219,ON963951,yes,1,NR_198267 Clitopilus subalbidus GDGM:72219 Guangdong CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198267
NR_198279,Tolypocladium valdiviae,holotype,high,GenBank /type_material qualifier,holotype of Tolypocladium valdiviae,SGO:171250,OP345930,yes,1,NR_198279 Tolypocladium valdiviae SGO:171250 Chile,https://www.ncbi.nlm.nih.gov/nuccore/NR_198279
